1.  What is the capital of bangladesh?
a.  dhaka
b.  delhi
c.  sydney
d.  korachi
2.  How does Bangladesh's flag look like?
a.  Blue background with yellow star in centre
b.  Green background with red circle in centre
c.  Red background with white circle in centre
d.  Purple background with pink circle in center
3.  Bangladesh became independent in-
a.  1947
b.  1928
c.  1971
d.  1987
4.  How many people have been awarded 'The Bir Sreshtho' for their bravery dedication in the liberation war of Bangladesh in 1971 ?
a.  7
b.  17
c.  27
d.  37
5.  Before 1971 Bangladesh was a part of-
a.  Pakistan
b.  India
c.  Nepal
d.  Afganistan
6.  Who is our "Father of the nation"-
a.  Sheikh Mujibur Rahman
b.  Tajuddin Ahmed
c.  Nazrul Islam
d.  Obaidul Kader
7.  National Flower of Bangladesh-
a.  water lily
b.  rose
c.  daisy
d.  tulip
8.  Who was the first Prime minister of Bangladesh?
a.  Tajuddin Ahmed
b.  Nazrul Islam
c.  Sheikh Mujibur Rahman
d.  Sheikh Hasina
9.  Who was assassinated on 15 August 1975?
a.  Zia-ur-Rahman
b.  Zia-ul-Haq
c.  Tikka Khan
d.  Sheikh Mujibur Rahman
10.  Independence day-
a.  14 December
b.  16 March
c.  1 July
d.  26 March
a b c a a a a a d d 
